plate1_A1	MDHP-00004
plate1_A2	MDHP-00031
plate1_A3	MDHP-00032
plate1_A4	MDHP-00006
plate1_A5	MDHP-00007
plate1_A6	MDHP-00022
plate1_A7	MDHP-00033
plate1_A8	MDHP-00019
plate1_A9	MDHP-00010
plate1_A10	MDHP-00017
plate1_A11	MDHP-00015
plate1_A12	NTC
plate1_C1	MDHP-00016
plate1_C2	MDHP-00018
plate1_C3	MDHP-00020
plate1_C4	MDHP-00021
plate1_C5	MDHP-00023
plate1_C6	MDHP-00024
plate1_C7	MDHP-00025
plate1_C8	MDHP-00026
plate1_C9	MDHP-00028
plate1_C10	MDHP-00029
plate1_C11	MDHP-00030
plate1_C12	NTC
plate2_A1	MDHP-00035
plate2_A2	MDHP-00036
plate2_A3	MDHP-00037
plate2_A4	MDHP-00038
plate2_A5	MDHP-00039
plate2_A6	MDHP-00040
plate2_A7	MDHP-00041
plate2_A8	MDHP-00042
plate2_A9	MDHP-00043
plate2_A10	MDHP-00044
plate2_A11	MDHP-00045
plate2_A12	NTC
plate2_C1	MDHP-00046
plate2_C2	MDHP-00047
plate2_C3	MDHP-00048
plate2_C4	MDHP-00049
plate2_C5	MDHP-00050
plate2_C6	MDHP-00051
plate2_C7	MDHP-00052
plate2_C8	MDHP-00053
plate2_C9	MDHP-00054
plate2_C10	MDHP-00055
plate2_C11	MDHP-00056
plate2_C12	NTC
plate2_E1	MDHP-00057
plate2_E2	MDHP-00058
plate2_E3	MDHP-00059
plate2_E4	MDHP-00060
plate2_E5	MDHP-00061
plate2_E6	MDHP-00062
plate2_E7	MDHP-00063
plate2_E8	MDHP-00064
plate2_E9	MDHP-00065
plate2_E10	MDHP-00066
plate2_E11	MDHP-00067
plate2_E12	NTC
plate3_A1	MDHP-00068
plate3_A2	MDHP-00069
plate3_A3	NTC
plate3_A4	MDHP-00070
plate3_A5	MDHP-00071
plate3_A6	MDHP-00072
plate3_A7	MDHP-00073
plate3_A8	MDHP-00074
plate3_A9	MDHP-00075
plate3_A10	MDHP-00076
plate3_A11	MDHP-00077
plate3_A12	MDHP-00078
plate3_B1	MDHP-00079
plate3_B2	MDHP-00080
plate3_B3	MDHP-00081
plate3_B4	MDHP-00082
plate3_B5	MDHP-00083
plate3_B6	MDHP-00085
plate3_B7	NTC
plate3_B8	MDHP-00086
plate3_B9	MDHP-00087
plate3_B10	MDHP-00088
plate3_B11	MDHP-00089
plate3_B12	MDHP-00090
plate3_C1	MDHP-00091
plate3_C2	MDHP-00092
plate3_C3	MDHP-00093
plate3_C4	MDHP-00094
plate3_C5	MDHP-00095
plate3_C6	NTC
plate3_C7	MDHP-00096
plate3_C8	MDHP-00097
plate3_C9	MDHP-00098
plate3_C10	MDHP-00099
plate3_C11	MDHP-00100
plate3_C12	MDHP-00101
plate3_D1	MDHP-00103
plate3_D2	MDHP-00104
plate3_D3	MDHP-00105
plate3_D4	MDHP-00106
plate3_D5	MDHP-00107
plate3_D6	MDHP-00108
plate3_D7	MDHP-00109
plate3_D8	MDHP-00110
plate3_D9	MDHP-00112
plate3_D10	MDHP-00113
plate3_D11	NTC
plate3_D12	MDHP-00114
plate3_E1	MDHP-00115
plate3_E2	MDHP-00116
plate3_E3	NTC
plate3_E4	MDHP-00117
plate3_E5	MDHP-00118
plate3_E6	MDHP-00119
plate3_E7	MDHP-00120
plate3_E8	MDHP-00121
plate3_E9	MDHP-00122
plate3_E10	MDHP-00123
plate3_E11	MDHP-00124
plate3_E12	MDHP-00125
plate3_F1	NTC
plate3_F2	MDHP-00126
plate3_F3	MDHP-00127
plate3_F4	MDHP-00128
plate3_F5	MDHP-00129
plate3_F6	MDHP-00130
plate3_F7	MDHP-00131
plate3_F8	MDHP-00132
plate3_F9	MDHP-00133
plate3_F10	MDHP-00134
plate3_F11	MDHP-00135
plate3_F12	MDHP-00136
plate3_G1	MDHP-00137
plate3_G2	MDHP-00138
plate3_G3	MDHP-00139
plate3_G4	MDHP-00140
plate3_G5	MDHP-00141
plate3_G6	MDHP-00143
plate3_G7	MDHP-00144
plate3_G8	MDHP-00145
plate3_G9	MDHP-00146
plate3_G10	NTC
plate3_G11	MDHP-00147
plate3_G12	MDHP-00148
plate3_H1	MDHP-00149
plate3_H2	NTC
plate3_H3	MDHP-00150
plate3_H4	MDHP-00151
plate3_H5	MDHP-00152
plate3_H6	MDHP-00153
plate3_H7	MDHP-00154
plate3_H8	MDHP-00155
plate3_H9	MDHP-00156
plate3_H10	MDHP-00157
plate3_H11	MDHP-00158
plate3_H12	MDHP-00159

